Treatment,Tank,Sample,Day,PC,PN
Fish,1,1,11,15.9,2.8
Fish,1,2,11,22.4,3.7
Fish,2,1,11,21.5,4.6
Fish,2,2,11,20.2,4.3
Fish,3,1,11,18.2,3.5
Fish,3,2,11,17.1,3
Fish,4,1,11,16.3,3.4
Fish,4,2,11,17,3.4
Dissolved_Coral,1,1,11,31.7,7.5
Dissolved_Coral,1,2,11,34.5,7.8
Dissolved_Coral,2,1,11,22.6,5
Dissolved_Coral,2,2,11,25.1,6.4
Dissolved_Coral,3,1,11,17.9,4.2
Dissolved_Coral,3,2,11,20.7,5.1
Dissolved_Coral,4,1,11,17,3.5
Dissolved_Coral,4,2,11,13.3,2.9
Control,1,1,11,14.7,2.8
Control,1,2,11,16.3,3.3
Control,2,1,11,24.8,5.9
Control,2,2,11,20.6,3.5
Control,3,1,11,15.2,3.7
Control,3,2,11,17.6,4.1
Control,4,1,11,13.7,3.5
Control,4,2,11,12.4,3.1
Pellets,1,1,11,14.3,3.6
Pellets,1,2,11,14.5,3.7
Pellets,2,1,11,11.4,2.7
Pellets,2,2,11,10.4,3.1
Pellets,3,1,11,17.6,4.4
Pellets,3,2,11,15.7,3.9
Pellets,4,1,11,11.2,3
Pellets,4,2,11,15.1,4
Mixed,1,1,11,15.1,2
Mixed,1,2,11,20.9,2.5
Mixed,2,1,11,19.5,3.6
Mixed,2,2,11,18.1,3.9
Mixed,3,1,11,16.4,2.7
Mixed,3,2,11,16,2.5
Mixed,4,1,11,18.4,4.1
Mixed,4,2,11,20.2,3.9
LiveFeeds,1,1,11,12.7,2.2
LiveFeeds,1,2,11,12.7,2.8
LiveFeeds,2,1,11,10.3,2
LiveFeeds,2,2,11,9,1.7
LiveFeeds,3,1,11,12.2,2.6
LiveFeeds,3,2,11,12,2.5
LiveFeeds,4,1,11,10.5,2.1
LiveFeeds,4,2,11,9.1,1.7
Dissolved_Fish,1,1,11,14,3
Dissolved_Fish,1,2,11,15.5,3
Dissolved_Fish,2,1,11,13.9,2.9
Dissolved_Fish,2,2,11,14.2,2.5
Dissolved_Fish,3,1,11,46.4,2.9
Dissolved_Fish,3,2,11,37.3,4
Dissolved_Fish,4,1,11,15.8,3.9
Dissolved_Fish,4,2,11,15.9,3.6
Fish,1,1,16,21.3,4.6
Fish,1,2,16,15,3.2
Fish,2,1,16,15.6,4
Fish,2,2,16,13.4,3.5
Fish,3,1,16,13,2.6
Fish,3,2,16,10.7,2.3
Fish,4,1,16,16.9,3.7
Fish,4,2,16,18.4,4.2
Dissolved_Coral,1,1,16,30.1,6.9
Dissolved_Coral,1,2,16,34.6,7.9
Dissolved_Coral,2,1,16,22.5,4.7
Dissolved_Coral,2,2,16,27,6.6
Dissolved_Coral,3,1,16,15.6,3.8
Dissolved_Coral,3,2,16,16,4.1
Dissolved_Coral,4,1,16,13.5,2.8
Dissolved_Coral,4,2,16,14.6,3
Control,1,1,16,21.7,4
Control,1,2,16,19.5,3.3
Control,2,1,16,19.1,3.9
Control,2,2,16,22.4,4.3
Control,3,1,16,25.2,5.8
Control,3,2,16,21.4,5
Control,4,1,16,19.1,5
Control,4,2,16,12.3,2.8
Pellets,1,1,16,12.7,2.7
Pellets,1,2,16,11.4,2.9
Pellets,2,1,16,16.4,3.6
Pellets,2,2,16,16.2,3.4
Pellets,3,1,16,13.4,2.8
Pellets,3,2,16,25.5,2.9
Pellets,4,1,16,14.6,3
Pellets,4,2,16,16.7,3.7
Mixed,1,1,16,15.8,4.3
Mixed,1,2,16,12,2.9
Mixed,2,1,16,10,2.2
Mixed,2,2,16,12.1,2.8
Mixed,3,1,16,9.4,2.3
Mixed,3,2,16,9.9,2.3
Mixed,4,1,16,13.9,4.2
Mixed,4,2,16,16.1,4.7
LiveFeeds,1,1,16,13.8,2.3
LiveFeeds,1,2,16,21.2,2.2
LiveFeeds,2,1,16,11.9,1.8
LiveFeeds,2,2,16,8.7,1.7
LiveFeeds,3,1,16,12.3,2.3
LiveFeeds,3,2,16,14.9,3.4
LiveFeeds,4,1,16,9.5,2
LiveFeeds,4,2,16,9.3,2
Dissolved_Fish,1,1,16,18.7,4.3
Dissolved_Fish,1,2,16,17.8,4.1
Dissolved_Fish,2,1,16,33.2,4.4
Dissolved_Fish,2,2,16,22.8,4.5
Dissolved_Fish,3,1,16,16.6,3.9
Dissolved_Fish,3,2,16,14.4,3.4
Dissolved_Fish,4,1,16,18.9,4.2
Dissolved_Fish,4,2,16,19.3,3.9
Fish,1,1,24,9.1,2.1
Fish,1,2,24,18.5,5
Fish,2,1,24,21.9,5.7
Fish,2,2,24,12.8,2.7
Fish,3,1,24,14.4,3.1
Fish,3,2,24,13.3,3.1
Fish,4,1,24,13.2,2.8
Fish,4,2,24,12.7,2.6
