treatment,replicate,row,column,genotype,fragment,species,sp_rep,month,Y_na
control,1,c,1,3,31,aten,5,1,0.65
control,1,d,1,5,49,aten,9,1,0.664
control,1,e,2,2,9,aten,10,1,0.641
control,1,b,3,1,44,aten,3,1,0.647
control,1,b,6,2,35,aten,4,1,0.59
control,1,c,6,4,10,aten,6,1,0.682
control,1,c,7,3,50,aten,7,1,0.64
control,1,a,8,1,21,aten,1,1,0.615
control,1,c,8,5,4,aten,8,1,0.593
control,1,a,9,4,3,aten,2,1,0.659
control,1,a,1,4,44,pdae,1,1,0.683
control,1,b,1,4,4,pdae,4,1,0.668
control,1,e,3,3,31,pdae,9,1,0.675
control,1,c,4,2,31,pdae,5,1,0.688
control,1,d,4,2,32,pdae,7,1,0.715
control,1,a,5,5,5,pdae,2,1,0.668
control,1,a,7,1,33,pdae,3,1,0.698
control,1,c,10,1,28,pdae,6,1,0.723
control,1,d,10,2,34,pdae,8,1,0.692
control,1,e,10,5,8,pdae,10,1,0.594
control,1,a,2,2,34,plut,1,1,0.577
control,1,d,2,3,17,plut,7,1,0.596
control,1,b,5,2,44,plut,3,1,0.571
control,1,c,5,3,30,plut,6,1,0.595
control,1,e,5,4,6,plut,10,1,0.577
control,1,d,6,5,14,plut,8,1,0.623
control,1,b,8,1,34,plut,4,1,0.764
control,1,b,9,3,32,plut,5,1,0.708
control,1,d,9,4,19,plut,9,1,0.647
control,1,a,10,5,16,plut,2,1,0.618
control,1,e,1,4,45,pver,7,1,0.708
control,1,b,2,2,41,pver,3,1,0.711
control,1,a,4,4,44,pver,1,1,0.683
control,1,e,4,3,60,pver,8,1,0.648
control,1,a,6,4,50,pver,2,1,0.685
control,1,d,7,2,49,pver,6,1,0.685
control,1,e,8,5,28,pver,9,1,0.675
control,1,c,9,1,24,pver,5,1,0.715
control,1,e,9,3,61,pver,10,1,0.7
control,1,b,10,5,29,pver,4,1,0.604
dissolved,1,c,1,4,11,aten,5,1,0.677
dissolved,1,d,1,5,13,aten,9,1,0.617
dissolved,1,e,2,2,25,aten,10,1,0.604
dissolved,1,b,3,5,20,aten,3,1,0.614
dissolved,1,b,6,3,29,aten,4,1,0.618
dissolved,1,c,6,4,29,aten,6,1,0.665
dissolved,1,c,7,1,36,aten,7,1,0.635
dissolved,1,a,8,3,20,aten,1,1,0.627
dissolved,1,c,8,1,43,aten,8,1,0.638
dissolved,1,a,9,2,17,aten,2,1,0.631
dissolved,1,a,1,3,26,pdae,1,1,0.44
dissolved,1,b,1,1,51,pdae,4,1,0.672
dissolved,1,e,3,1,50,pdae,9,1,0.595
dissolved,1,c,4,5,40,pdae,5,1,0.645
dissolved,1,d,4,3,21,pdae,7,1,0.634
dissolved,1,a,5,2,29,pdae,2,1,0.707
dissolved,1,a,7,2,36,pdae,3,1,0.7
dissolved,1,c,10,5,23,pdae,6,1,0.618
dissolved,1,d,10,4,7,pdae,8,1,0.691
dissolved,1,e,10,4,21,pdae,10,1,0.667
dissolved,1,a,2,2,39,plut,1,1,0.598
dissolved,1,d,2,5,12,plut,7,1,0.657
dissolved,1,b,5,1,32,plut,3,1,0.678
dissolved,1,c,5,2,45,plut,6,1,0.531
dissolved,1,e,5,3,57,plut,10,1,0.63
dissolved,1,d,6,1,26,plut,8,1,0.658
dissolved,1,b,8,4,3,plut,4,1,0.623
dissolved,1,b,9,4,25,plut,5,1,0.648
dissolved,1,d,9,5,3,plut,9,1,0.637
dissolved,1,a,10,3,38,plut,2,1,0.652
dissolved,1,e,1,4,43,pver,7,1,0.708
dissolved,1,b,2,3,23,pver,3,1,0.706
dissolved,1,a,4,5,9,pver,1,1,0.69
dissolved,1,e,4,2,46,pver,8,1,0.706
dissolved,1,a,6,2,38,pver,2,1,0.738
dissolved,1,d,7,4,35,pver,6,1,0.716
dissolved,1,e,8,3,35,pver,9,1,0.737
dissolved,1,c,9,4,40,pver,5,1,0.664
dissolved,1,e,9,1,21,pver,10,1,0.712
dissolved,1,b,10,5,45,pver,4,1,0.696
fish,1,c,1,3,2,aten,5,1,0.635
fish,1,d,1,2,28,aten,9,1,0.615
fish,1,e,2,1,16,aten,10,1,0.628
fish,1,b,3,3,1,aten,3,1,0.612
fish,1,b,6,4,5,aten,4,1,0.667
fish,1,c,6,2,21,aten,6,1,0.62
fish,1,c,7,4,13,aten,7,1,0.692
fish,1,a,8,5,2,aten,1,1,0.59
fish,1,c,8,1,20,aten,8,1,0.631
fish,1,a,9,5,47,aten,2,1,0.614
fish,1,a,1,4,46,pdae,1,1,0.675
fish,1,b,1,5,47,pdae,4,1,0.688
fish,1,e,3,1,43,pdae,9,1,0.69
fish,1,c,4,3,29,pdae,5,1,0.697
fish,1,d,4,4,40,pdae,7,1,0.673
fish,1,a,5,5,46,pdae,2,1,0.658
fish,1,a,7,5,38,pdae,3,1,0.673
fish,1,c,10,2,40,pdae,6,1,0.746
fish,1,d,10,1,15,pdae,8,1,0.752
fish,1,e,10,2,20,pdae,10,1,0.659
fish,1,a,2,2,38,plut,1,1,0.601
fish,1,d,2,3,11,plut,7,1,0.643
fish,1,b,5,3,15,plut,3,1,0.607
fish,1,c,5,4,17,plut,6,1,0.576
fish,1,e,5,4,13,plut,10,1,0.61
fish,1,d,6,5,6,plut,8,1,0.65
fish,1,b,8,1,35,plut,4,1,0.717
fish,1,b,9,2,16,plut,5,1,0.574
fish,1,d,9,5,5,plut,9,1,0.632
fish,1,a,10,1,5,plut,2,1,0.667
fish,1,e,1,3,57,pver,7,1,0.668
fish,1,b,2,2,50,pver,3,1,0.699
fish,1,a,4,5,56,pver,1,1,0.639
fish,1,e,4,2,43,pver,8,1,0.696
fish,1,a,6,2,42,pver,2,1,0.65
fish,1,d,7,4,48,pver,6,1,0.688
fish,1,e,8,4,47,pver,9,1,0.698
fish,1,c,9,1,20,pver,5,1,0.741
fish,1,e,9,3,58,pver,10,1,0.694
fish,1,b,10,1,15,pver,4,1,0.706
livefeeds,1,c,1,2,10,aten,5,1,0.617
livefeeds,1,d,1,1,45,aten,9,1,0.641
livefeeds,1,e,2,1,37,aten,10,1,0.628
livefeeds,1,b,3,2,18,aten,3,1,0.608
livefeeds,1,b,6,3,21,aten,4,1,0.614
livefeeds,1,c,6,3,11,aten,6,1,0.609
livefeeds,1,c,7,4,21,aten,7,1,0.663
livefeeds,1,a,8,5,3,aten,1,1,0.628
livefeeds,1,c,8,5,12,aten,8,1,0.626
livefeeds,1,a,9,4,9,aten,2,1,0.676
livefeeds,1,a,1,2,19,pdae,1,1,0.69
livefeeds,1,b,1,1,42,pdae,4,1,0.7
livefeeds,1,e,3,3,13,pdae,9,1,0.75
livefeeds,1,c,4,4,8,pdae,5,1,0.686
livefeeds,1,d,4,4,17,pdae,7,1,0.684
livefeeds,1,a,5,5,35,pdae,2,1,0.671
livefeeds,1,a,7,5,24,pdae,3,1,0.697
livefeeds,1,c,10,3,34,pdae,6,1,0.718
livefeeds,1,d,10,1,46,pdae,8,1,0.703
livefeeds,1,e,10,2,10,pdae,10,1,0.68
livefeeds,1,a,2,5,18,plut,1,1,0.62
livefeeds,1,d,2,2,10,plut,7,1,0.529
livefeeds,1,b,5,3,42,plut,3,1,0.634
livefeeds,1,c,5,2,37,plut,6,1,0.55
livefeeds,1,e,5,3,7,plut,10,1,0.651
livefeeds,1,d,6,1,9,plut,8,1,0.659
livefeeds,1,b,8,5,9,plut,4,1,0.697
livefeeds,1,b,9,4,26,plut,5,1,0.631
livefeeds,1,d,9,4,21,plut,9,1,0.686
livefeeds,1,a,10,1,33,plut,2,1,0.75
livefeeds,1,e,1,4,27,pver,7,1,0.693
livefeeds,1,b,2,5,1,pver,3,1,0.689
livefeeds,1,a,4,3,15,pver,1,1,0.702
livefeeds,1,e,4,5,32,pver,8,1,0.743
livefeeds,1,a,6,2,1,pver,2,1,0.675
livefeeds,1,d,7,4,41,pver,6,1,0.654
livefeeds,1,e,8,2,22,pver,9,1,0.612
livefeeds,1,c,9,1,35,pver,5,1,0.71
livefeeds,1,e,9,2,35,pver,10,1,0.724
livefeeds,1,b,10,3,16,pver,4,1,0.703
mix,1,c,1,4,4,aten,5,1,0.654
mix,1,d,1,2,38,aten,9,1,0.61
mix,1,e,2,4,6,aten,10,1,0.671
mix,1,b,3,3,3,aten,3,1,0.645
mix,1,b,6,5,8,aten,4,1,0.593
mix,1,c,6,1,14,aten,6,1,0.635
mix,1,c,7,2,1,aten,7,1,0.615
mix,1,a,8,5,50,aten,1,1,0.63
mix,1,c,8,1,27,aten,8,1,0.625
mix,1,a,9,3,9,aten,2,1,0.642
mix,1,a,1,2,14,pdae,1,1,0.685
mix,1,b,1,5,48,pdae,4,1,0.682
mix,1,e,3,5,50,pdae,9,1,0.699
mix,1,c,4,3,35,pdae,5,1,0.742
mix,1,d,4,2,30,pdae,7,1,0.667
mix,1,a,5,1,37,pdae,2,1,0.696
mix,1,a,7,1,23,pdae,3,1,0.704
mix,1,c,10,4,49,pdae,6,1,0.707
mix,1,d,10,2,37,pdae,8,1,0.662
mix,1,e,10,4,20,pdae,10,1,0.687
mix,1,a,2,3,36,plut,1,1,0.876
mix,1,d,2,3,6,plut,7,1,0.637
mix,1,b,5,5,17,plut,3,1,0.634
mix,1,c,5,5,10,plut,6,1,0.629
mix,1,e,5,2,40,plut,10,1,0.599
mix,1,d,6,1,1,plut,8,1,0.663
mix,1,b,8,4,2,plut,4,1,0.653
mix,1,b,9,1,24,plut,5,1,0.688
mix,1,d,9,4,22,plut,9,1,0.58
mix,1,a,10,2,3,plut,2,1,0.5
mix,1,e,1,3,55,pver,7,1,0.686
mix,1,b,2,2,47,pver,3,1,0.711
mix,1,a,4,2,40,pver,1,1,0.726
mix,1,e,4,5,44,pver,8,1,0.654
mix,1,a,6,4,46,pver,2,1,0.702
mix,1,d,7,4,49,pver,6,1,0.709
mix,1,e,8,3,56,pver,9,1,0.668
mix,1,c,9,5,57,pver,5,1,0.681
mix,1,e,9,1,34,pver,10,1,0.728
mix,1,b,10,3,59,pver,4,1,0.665
pellets,1,c,1,1,31,aten,5,1,0.584
pellets,1,d,1,2,12,aten,9,1,0.638
pellets,1,e,2,1,32,aten,10,1,0.617
pellets,1,b,3,3,47,aten,3,1,0.653
pellets,1,b,6,3,36,aten,4,1,0.646
pellets,1,c,6,2,47,aten,6,1,0.6
pellets,1,c,7,4,43,aten,7,1,0.662
pellets,1,a,8,5,34,aten,1,1,0.573
pellets,1,c,8,4,40,aten,8,1,0.67
pellets,1,a,9,5,40,aten,2,1,0.626
pellets,1,a,1,3,44,pdae,1,1,0.532
pellets,1,b,1,4,15,pdae,4,1,0.672
pellets,1,e,3,5,19,pdae,9,1,0.672
pellets,1,c,4,2,7,pdae,5,1,0.697
pellets,1,d,4,4,37,pdae,7,1,0.65
pellets,1,a,5,3,2,pdae,2,1,0.671
pellets,1,a,7,1,47,pdae,3,1,0.651
pellets,1,c,10,1,8,pdae,6,1,0.688
pellets,1,d,10,5,21,pdae,8,1,0.722
pellets,1,e,10,2,13,pdae,10,1,0.681
pellets,1,a,2,5,40,plut,1,1,0.639
pellets,1,d,2,2,50,plut,7,1,0.615
pellets,1,b,5,3,45,plut,3,1,0.626
pellets,1,c,5,2,25,plut,6,1,0.557
pellets,1,e,5,1,23,plut,10,1,0.647
pellets,1,d,6,3,28,plut,8,1,0.611
pellets,1,b,8,4,33,plut,4,1,0.621
pellets,1,b,9,5,32,plut,5,1,0.649
pellets,1,d,9,3,20,plut,9,1,0.62
pellets,1,a,10,4,27,plut,2,1,0.628
pellets,1,e,1,3,18,pver,7,1,0.685
pellets,1,b,2,4,38,pver,3,1,0.697
pellets,1,a,4,5,20,pver,1,1,0.668
pellets,1,e,4,2,34,pver,8,1,0.679
pellets,1,a,6,1,26,pver,2,1,0.672
pellets,1,d,7,2,17,pver,6,1,0.686
pellets,1,e,8,5,17,pver,9,1,0.713
pellets,1,c,9,1,8,pver,5,1,0.684
pellets,1,e,9,3,2,pver,10,1,0.685
pellets,1,b,10,4,17,pver,4,1,0.707
control,2,c,1,1,24,aten,5,1,0.647
control,2,d,1,1,19,aten,9,1,0.634
control,2,e,2,2,48,aten,10,1,0.633
control,2,b,3,2,13,aten,3,1,0.631
control,2,b,6,3,16,aten,4,1,0.656
control,2,c,6,3,17,aten,6,1,0.687
control,2,c,7,5,46,aten,7,1,0.631
control,2,a,8,4,12,aten,1,1,0.662
control,2,c,8,5,45,aten,8,1,0.635
control,2,a,9,4,18,aten,2,1,0.683
control,2,a,1,4,39,pdae,1,1,0.685
control,2,b,1,5,1,pdae,4,1,0.658
control,2,e,3,4,47,pdae,9,1,0.702
control,2,c,4,2,1,pdae,5,1,0.685
control,2,d,4,5,2,pdae,7,1,0.669
control,2,a,5,2,23,pdae,2,1,0.715
control,2,a,7,1,39,pdae,3,1,0.684
control,2,c,10,3,7,pdae,6,1,0.712
control,2,d,10,1,36,pdae,8,1,0.705
control,2,e,10,3,24,pdae,10,1,0.725
control,2,a,2,3,16,plut,1,1,0.631
control,2,d,2,5,21,plut,7,1,0.639
control,2,b,5,3,25,plut,3,1,0.616
control,2,c,5,5,2,plut,6,1,0.569
control,2,e,5,2,46,plut,10,1,0.535
control,2,d,6,4,7,plut,8,1,0.559
control,2,b,8,4,20,plut,4,1,0.61
control,2,b,9,2,29,plut,5,1,0.506
control,2,d,9,3,1,plut,9,1,0.603
control,2,a,10,1,3,plut,2,1,0.634
control,2,e,1,5,31,pver,7,1,0.689
control,2,b,2,5,38,pver,3,1,0.683
control,2,a,4,4,23,pver,1,1,0.71
control,2,e,4,4,24,pver,8,1,0.702
control,2,a,6,3,34,pver,2,1,0.662
control,2,d,7,3,41,pver,6,1,0.662
control,2,e,8,2,14,pver,9,1,0.721
control,2,c,9,1,3,pver,5,1,0.649
control,2,e,9,3,26,pver,10,1,0.678
control,2,b,10,2,21,pver,4,1,0.712
dissolved,2,c,1,1,42,aten,5,1,0.665
dissolved,2,d,1,1,48,aten,9,1,0.66
dissolved,2,e,2,3,14,aten,10,1,0.622
dissolved,2,b,3,3,19,aten,3,1,0.628
dissolved,2,b,6,2,23,aten,4,1,0.619
dissolved,2,c,6,4,7,aten,6,1,0.664
dissolved,2,c,7,5,48,aten,7,1,0.657
dissolved,2,a,8,4,14,aten,1,1,0.654
dissolved,2,c,8,2,34,aten,8,1,0.581
dissolved,2,a,9,5,5,aten,2,1,0.635
dissolved,2,a,1,2,12,pdae,1,1,0.683
dissolved,2,b,1,5,34,pdae,4,1,0.611
dissolved,2,e,3,1,40,pdae,9,1,0.68
dissolved,2,c,4,3,23,pdae,5,1,0.639
dissolved,2,d,4,3,20,pdae,7,1,0.609
dissolved,2,a,5,4,3,pdae,2,1,0.697
dissolved,2,a,7,1,16,pdae,3,1,0.64
dissolved,2,c,10,5,16,pdae,6,1,0.588
dissolved,2,d,10,2,16,pdae,8,1,0.687
dissolved,2,e,10,4,19,pdae,10,1,0.673
dissolved,2,a,2,2,24,plut,1,1,0.59
dissolved,2,d,2,3,29,plut,7,1,0.645
dissolved,2,b,5,3,4,plut,3,1,0.661
dissolved,2,c,5,4,1,plut,6,1,0.592
dissolved,2,e,5,4,24,plut,10,1,0.688
dissolved,2,d,6,1,17,plut,8,1,0.673
dissolved,2,b,8,5,15,plut,4,1,0.667
