species,treatment,replicate,row,column,sp_rep,genotype,fragment,month,bw_raw,bw_initial_raw
aten,control,1,A,8,1,1,21,0,5.488,5.488
aten,control,1,B,3,3,1,44,0,5.178,5.178
aten,control,1,E,2,10,2,9,0,5.503,5.503
aten,control,1,B,6,4,2,35,0,6.004,6.004
aten,control,1,C,1,5,3,31,0,5.444,5.444
aten,control,1,C,7,7,3,50,0,5.559,5.559
aten,control,1,A,9,2,4,3,0,4.845,4.845
aten,control,1,C,6,6,4,10,0,5.643,5.643
aten,control,1,C,8,8,5,4,0,4.932,4.932
aten,control,1,D,1,9,5,49,0,5.143,5.143
aten,control,2,D,1,9,1,19,0,4.583,4.583
aten,control,2,C,1,5,1,24,0,5.303,5.303
aten,control,2,B,3,3,2,13,0,5.873,5.873
aten,control,2,E,2,10,2,48,0,6.152,6.152
aten,control,2,B,6,4,3,16,0,6.432,6.432
aten,control,2,C,6,6,3,17,0,5.458,5.458
aten,control,2,A,8,1,4,12,0,5.906,5.906
aten,control,2,A,9,2,4,18,0,4.926,4.926
aten,control,2,C,8,8,5,45,0,5.815,5.815
aten,control,2,C,7,7,5,46,0,5.173,5.173
aten,control,3,D,1,9,1,3,0,5.712,5.712
aten,control,3,E,2,10,1,26,0,4.277,4.277
aten,control,3,B,6,4,1,38,0,5.815,5.815
aten,control,3,C,6,6,2,32,0,5.255,5.255
aten,control,3,C,1,5,3,32,0,5.934,5.934
aten,control,3,C,8,8,3,46,0,6.584,6.584
aten,control,3,B,3,3,4,1,0,5.25,5.25
aten,control,3,C,7,7,4,16,0,6.2,6.2
aten,control,3,A,9,2,5,1,0,5.24,5.24
aten,control,3,A,8,1,5,11,0,6.239,6.239
aten,control,4,E,2,10,1,18,0,4.915,4.915
aten,control,4,B,6,4,1,25,0,6.254,6.254
aten,control,4,C,1,5,2,30,0,5.534,5.534
aten,control,4,D,1,9,2,50,0,6.604,6.604
aten,control,4,B,3,3,3,41,0,6.833,6.833
aten,control,4,C,6,6,3,42,0,5.168,5.168
aten,control,4,C,7,7,4,36,0,5.356,5.356
aten,control,4,A,8,1,4,37,0,5.433,5.433
aten,control,4,A,9,2,5,27,0,5.568,5.568
aten,control,4,C,8,8,5,36,0,5.558,5.558
aten,dissolved,1,C,7,7,1,36,0,5.389,5.389
aten,dissolved,1,C,8,8,1,43,0,5.048,5.048
aten,dissolved,1,A,9,2,2,17,0,4.414,4.414
