treatment,replicate,row,column,species,sp_rep,genotype,fragment,surv_time,dead
control,1,A,8,aten,1,1,21,61,1
control,1,A,9,aten,2,4,3,92,0
control,1,B,3,aten,3,1,44,90,1
control,1,B,6,aten,4,2,35,61,1
control,1,C,1,aten,5,3,31,64,1
control,1,C,6,aten,6,4,10,92,0
control,1,C,7,aten,7,3,50,64,1
control,1,C,8,aten,8,5,4,64,1
control,1,D,1,aten,9,5,49,64,1
control,1,E,2,aten,10,2,9,61,1
control,2,A,8,aten,1,4,12,92,0
control,2,A,9,aten,2,4,18,92,0
control,2,B,3,aten,3,2,13,58,1
control,2,B,6,aten,4,3,16,64,1
control,2,C,1,aten,5,1,24,72,1
control,2,C,6,aten,6,3,17,72,1
control,2,C,7,aten,7,5,46,73,1
control,2,C,8,aten,8,5,45,92,0
control,2,D,1,aten,9,1,19,92,0
control,2,E,2,aten,10,2,48,72,1
control,3,A,8,aten,1,5,11,92,0
control,3,A,9,aten,2,5,1,92,0
control,3,B,3,aten,3,4,1,78,1
control,3,B,6,aten,4,1,38,74,1
control,3,C,1,aten,5,3,32,67,1
control,3,C,6,aten,6,2,32,50,1
control,3,C,7,aten,7,4,16,92,0
control,3,C,8,aten,8,3,46,72,1
control,3,D,1,aten,9,1,3,92,0
control,3,E,2,aten,10,1,26,51,1
control,4,A,8,aten,1,4,37,92,0
control,4,A,9,aten,2,5,27,79,1
control,4,B,3,aten,3,3,41,79,1
control,4,B,6,aten,4,1,25,73,1
control,4,C,1,aten,5,2,30,68,1
control,4,C,6,aten,6,3,42,78,1
control,4,C,7,aten,7,4,36,92,0
control,4,C,8,aten,8,5,36,85,1
control,4,D,1,aten,9,2,50,78,1
control,4,E,2,aten,10,1,18,63,1
dissolved,1,A,8,aten,1,3,20,72,1
dissolved,1,A,9,aten,2,2,17,68,1
dissolved,1,B,3,aten,3,5,20,92,0
dissolved,1,B,6,aten,4,3,29,60,1
dissolved,1,C,1,aten,5,4,11,92,0
dissolved,1,C,6,aten,6,4,29,92,0
dissolved,1,C,7,aten,7,1,36,92,0
dissolved,1,C,8,aten,8,1,43,92,0
dissolved,1,D,1,aten,9,5,13,92,0
dissolved,1,E,2,aten,10,2,25,90,1
dissolved,2,A,8,aten,1,4,14,92,0
dissolved,2,A,9,aten,2,5,5,92,0
dissolved,2,B,3,aten,3,3,19,92,0
dissolved,2,B,6,aten,4,2,23,79,1
dissolved,2,C,1,aten,5,1,42,92,0
dissolved,2,C,6,aten,6,4,7,92,0
dissolved,2,C,7,aten,7,5,48,92,0
dissolved,2,C,8,aten,8,2,34,64,1
dissolved,2,D,1,aten,9,1,48,92,0
dissolved,2,E,2,aten,10,3,14,92,0
dissolved,3,A,8,aten,1,4,25,92,0
dissolved,3,A,9,aten,2,5,6,92,0
dissolved,3,B,3,aten,3,2,44,79,1
dissolved,3,B,6,aten,4,4,27,92,0
dissolved,3,C,1,aten,5,3,37,67,1
dissolved,3,C,6,aten,6,1,33,67,1
dissolved,3,C,7,aten,7,1,41,78,1
dissolved,3,C,8,aten,8,5,7,92,0
dissolved,3,D,1,aten,9,3,30,67,1
dissolved,3,E,2,aten,10,2,42,67,1
dissolved,4,A,8,aten,1,3,8,92,0
dissolved,4,A,9,aten,2,3,7,92,0
dissolved,4,B,3,aten,3,1,12,78,1
dissolved,4,B,6,aten,4,5,22,92,0
dissolved,4,C,1,aten,5,4,50,92,0
dissolved,4,C,6,aten,6,2,19,68,1
dissolved,4,C,7,aten,7,3,48,92,0
dissolved,4,C,8,aten,8,2,11,64,1
dissolved,4,D,1,aten,9,4,46,92,0
dissolved,4,E,2,aten,10,5,37,92,0
fish,1,A,8,aten,1,5,2,92,0
fish,1,A,9,aten,2,5,47,81,1
