species,treatment,tank_rep,genotype,fragment,zoox_SA,protein_ugSA,zoox_protein_SA,tank_rep_rand
aten,Control,1,4,3,409707.1334,320.6897883,1277.580853,Control_1
aten,Control,1,4,10,455519.7676,264.0346239,1725.2274,Control_1
aten,Control,2,4,18,217481.2521,201.9874687,1076.706657,Control_2
aten,Control,2,5,45,330014.5024,202.8213792,1627.118915,Control_2
aten,Control,3,1,3,605897.1379,221.2164182,2738.933858,Control_3
aten,Control,3,4,16,314804.9932,234.3571549,1343.270246,Control_3
aten,Control,4,4,36,231113.6947,183.757987,1257.706935,Control_4
aten,Control,4,4,37,260478.6023,236.217707,1102.705659,Control_4
aten,Fish,1,4,5,166129.6744,185.5391659,895.3887102,Fish_1
aten,Fish,1,4,13,457425.7272,233.9899102,1954.895093,Fish_1
aten,Fish,2,4,20,417441.8374,233.329514,1789.06573,Fish_2
aten,Fish,2,5,31,496815.3108,216.7603022,2292.00322,Fish_2
aten,Fish,3,1,30,796690.08,257.336407,3095.908929,Fish_3
aten,Fish,3,4,41,442919.0587,277.3480393,1596.979232,Fish_3
aten,Fish,4,5,42,401394.0755,207.2820547,1936.463222,Fish_4
aten,Fish,4,5,29,440746.1434,199.0056269,2214.742117,Fish_4
aten,Mix,1,5,8,305897.6766,210.2771063,1454.736,Mix_1
aten,Mix,1,2,38,673194.7523,257.5051652,2614.296112,Mix_1
aten,Mix,2,4,42,403235.5784,242.9409808,1659.808803,Mix_2
aten,Mix,2,5,24,606934.9908,245.3340969,2473.9121,Mix_2
aten,Mix,3,5,23,502742.1699,233.6551206,2151.641996,Mix_3
aten,Mix,3,4,17,528076.3149,329.5575544,1602.379638,Mix_3
aten,Mix,4,4,15,371078.0953,273.1245685,1358.640482,Mix_4
aten,Mix,4,4,28,488596.6134,264.5667544,1846.780085,Mix_4
aten,LiveFeeds,1,4,9,424923.604,208.6844707,2036.201364,LiveFeeds_1
aten,LiveFeeds,1,4,21,545163.7347,321.6158897,1695.077116,LiveFeeds_1
aten,LiveFeeds,2,1,13,713721.854,299.3976122,2383.859539,LiveFeeds_2
aten,LiveFeeds,2,5,10,400576.5599,164.3774303,2436.931634,LiveFeeds_2
aten,LiveFeeds,3,5,18,559483.8297,200.8681099,2785.329289,LiveFeeds_3
aten,LiveFeeds,3,4,33,372493.4833,198.0739323,1880.578019,LiveFeeds_3
aten,LiveFeeds,4,4,45,421352.1981,226.7100211,1858.551272,LiveFeeds_4
aten,LiveFeeds,4,4,47,364437.5866,195.6125566,1863.058246,LiveFeeds_4
aten,Pellets,1,5,34,381024.4294,220.8335931,1725.391613,Pellets_1
aten,Pellets,1,5,40,472530.8554,237.5357418,1989.304228,Pellets_1
aten,Pellets,2,4,22,495521.6402,280.5297465,1766.378241,Pellets_2
aten,Pellets,2,4,23,610691.4018,309.7017651,1971.869297,Pellets_2
